published,channel,title,btc_change_15m,btc_change_1h,actual_15m,actual_1h,sentiment,confidence,news_type,model_score,model_score_1h,pred_15m,pred_1h,confidence_model,result_15m,result_1h
2026-05-09 15:57:47+00:00,porter_news,"JUST IN:  WHO says everyone on cruise ship with hantavirus case must be monitored as ""high-risk contacts.""",0.07818077133061697,0.16019916908556028,0,0,positive,0.4658,etf,0.399,0.4245,1,1,0.0728,❌ FP,❌ FP
2026-05-08 15:07:08+00:00,porter_news,VIP ACCESS ENDS SOON — YOUR SPOT IS RESERVED,-0.2904623404798342,0.019591704869655467,0,0,positive,0.4489,partnership,0.3403,0.381,0,0,0.0393,✔️ TN,✔️ TN
2026-05-08 13:39:48+00:00,porter_news,JUST IN:  Department of War releases UFO and potential alien life files.,-0.10455402436975188,0.6756223317856896,0,1,positive,0.5057,etf,0.3872,0.4245,0,1,0.0706,✔️ TN,✅ TP
2026-05-08 10:46:26+00:00,porter_news,"JUST IN: Coinbase buys $88,000,000 worth of Bitcoin in Q1 2026.",0.09091120045451276,0.05348378157657181,0,0,positive,0.4822,partnership,0.4189,0.4387,1,1,0.0882,❌ FP,❌ FP
2026-05-05 17:56:32+00:00,porter_news,JUST IN:  RFK Jr. introduces plan to help Americans get off Antidepressant medications.,0.28539484994648484,0.3278515026270687,0,0,positive,0.4478,macro_economic,0.4172,0.4336,1,1,0.0882,❌ FP,❌ FP
2026-05-05 13:06:38+00:00,porter_news,JUST IN:  Kraken will allow customers to convert crypto into cash at MoneyGram locations in more than 100 countries.,0.033132604358818596,-0.3725762586373726,0,0,positive,0.5009,etf,0.4402,0.4717,1,1,0.0961,❌ FP,❌ FP
2026-05-04 15:59:54+00:00,porter_news,JUST IN:  UAE air defenses are currently intercepting incoming Iranian missile and drone attacks.,-0.45465404420061895,-0.02799830711395305,1,0,positive,0.5113,institutional,0.386,0.4195,0,1,0.0706,⚠️ FN,❌ FP
2026-05-03 20:49:05+00:00,porter_news,JUST IN: UAE oil giant ADNOC to invest $55 billion in new projects by 2028.,0.028999901390182905,-0.24774129046013058,0,0,positive,0.4575,etf,0.4076,0.436,1,1,0.0623,❌ FP,❌ FP
2026-05-03 09:25:10+00:00,porter_news,JUST IN:  China says it does not recognize U.S. sanctions on Iranian oil purchases and will not comply with them.,0.05461920807753464,-0.07212079200908166,0,0,positive,0.5251,etf,0.3849,0.4274,0,1,0.0718,✔️ TN,❌ FP
2026-05-01 11:08:55+00:00,porter_news,JUST IN:  Japan spent around $34.5 billion yesterday in currency intervention to prop up the Yen.,0.20307086111753264,0.23462514788645017,0,0,positive,0.4907,market_analysis,0.3986,0.4513,1,1,0.0894,❌ FP,❌ FP
2026-04-30 15:13:47+00:00,porter_news,Why do 82% of traders blow their accounts?,0.09859384374021449,0.06406310006000211,0,0,neutral,0.4943,regulatory,0.4094,0.4491,1,1,0.0955,❌ FP,❌ FP
2026-04-30 15:02:39+00:00,porter_news,JUST IN:  Lithuania reportedly plans to join US-led naval operations in the Strait of Hormuz.,0.1914817883769505,0.23314875013540057,0,0,positive,0.5051,partnership,0.3943,0.452,1,1,0.0727,❌ FP,❌ FP
2026-04-29 14:56:41+00:00,porter_news,JUST IN:  Trust Wallet announces Hyperliquid is now live in Trust Wallet.,-0.5034351407596365,-1.0189575284686585,1,1,positive,0.4838,etf,0.4256,0.4646,1,1,0.1004,✅ TP,✅ TP
2026-04-28 13:18:58+00:00,porter_news,JUST IN:  UAE to officially exit OPEC and OPEC+ after 59 years.,0.08718485159262206,-0.17149244542472508,0,0,positive,0.452,etf,0.3977,0.4424,1,1,0.0694,❌ FP,❌ FP
2026-04-28 08:44:24+00:00,porter_news,JUST IN:  Russia says it is developing a anti-aging vaccine.,0.06363637547416053,-0.2208717415167716,0,0,positive,0.4995,institutional,0.4245,0.4666,1,1,0.106,❌ FP,❌ FP
2026-04-27 19:59:23+00:00,porter_news,"JUST IN:  SEC Chair Paul Atkins says crypto & blockchain innovation will ""strengthen"" the US economy and financial system.",0.1252569941444304,0.1118412491867236,0,0,positive,0.5379,etf,0.3978,0.4369,1,1,0.0866,❌ FP,❌ FP
2026-04-27 18:03:38+00:00,porter_news,"JUST IN:  Bitcoin erases gains from yesterday, falling back under $77,000.",0.01375532660695981,0.04488717375713774,0,0,negative,0.5825,macro_economic,0.4272,0.4931,1,1,0.1087,❌ FP,❌ FP
2026-04-27 14:01:33+00:00,porter_news,JUST IN:  President Trump to hold national security meeting on Iran today.,0.14816070446299023,-0.003999824573611089,0,0,positive,0.4933,institutional,0.4263,0.4625,1,1,0.0942,❌ FP,❌ FP
